業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/04/20,月,平日,,曇,24.0,17.0,計,548749,600000,0.9146,0.9146,461119,1.1900,225,81,2438.9,2.56,300,0.7500,196,1.1480,0,,0.0000,0.0000,0,102936,0.1876,0.1876,0.1876,0.1876,4692,7017.3,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/04/20,月,平日,,曇,25.0,16.0,計,155183,140000,1.1085,1.1085,144032,1.0774,98,59,1583.5,1.11,74,1.3243,75,1.3067,0,,0.0000,0.0000,0,61941,0.3991,0.3991,0.3991,0.3991,3027,3076.0,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/04/20,月,平日,,曇,25.0,17.0,計,199491,250000,0.7980,0.7980,290469,0.6868,95,47,2099.9,2.79,162,0.5864,124,0.7661,0,,0.0000,0.0000,0,46919,0.2352,0.2352,0.2352,0.2352,2223,5384.4,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/04/20,月,平日,,曇,25.0,16.0,計,233442,220000,1.0611,1.0611,280676,0.8317,138,83,1691.6,2.46,122,1.1311,151,0.9139,0,,0.0000,0.0000,0,67652,0.2898,0.2898,0.2898,0.2898,3064,4571.3,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/04/20,月,平日,,曇,24.0,16.0,計,212637,170000,1.2508,1.2508,148002,1.4367,142,82,1497.4,2.68,0,,70,2.0286,0,52057,0.2448,0.2448,0,57752,0.2716,0.2716,0.5164,0.5164,2717,4695.7,,0.0000,
0001,千房直営,000002,第2エリア,015   ,曽根崎支店,2026/04/20,月,平日,,曇,24.0,17.0,計,,0,,,,,,,,0,0,,,,0,,,,0,0,,,,,0,,,,
0001,千房直営,000004,第4エリア,034   ,華 恵比寿ガーデンプレイス店,2026/04/20,月,平日,,曇,23.0,16.0,計,221175,200000,1.1059,1.1059,168057,1.3161,38,17,5820.4,0.76,20,1.9000,30,1.2667,0,72782,0.3291,0.3291,0,82366,0.3724,0.3724,0.7015,0.7015,3484,3809.0,,0.0000,
0001,千房直営,000002,第2エリア,035   ,京橋京阪モール支店,2026/04/20,月,平日,,曇,24.0,17.0,計,166790,170000,0.9811,0.9811,70064,2.3805,79,42,2111.3,2.08,89,0.8876,41,1.9268,0,,0.0000,0.0000,0,45805,0.2746,0.2746,0.2746,0.2746,2071,4832.2,,0.0000,
0001,千房直営,000002,第2エリア,040   ,ハービスＰＬＡＺＡ梅田支店,2026/04/20,月,平日,,曇,24.0,17.0,計,211113,200000,1.0556,1.0556,253646,0.8323,94,45,2245.9,2.69,100,0.9400,107,0.8785,0,,0.0000,0.0000,0,52072,0.2467,0.2467,0.2467,0.2467,2351,5387.8,,0.0000,
0001,千房直営,000003,第3エリア,052   ,有楽町ビックカメラ支店,2026/04/20,月,平日,,曇,24.0,16.0,計,272837,250000,1.0913,1.0913,239148,1.1409,104,54,2623.4,1.86,83,1.2530,81,1.2840,0,9000,0.0330,0.0330,0,72496,0.2657,0.2657,0.2987,0.2987,3077,5320.2,,0.0000,
0001,千房直営,000003,第3エリア,053   ,そごう横浜店,2026/04/20,月,平日,,曇,23.0,16.0,計,198482,190000,1.0446,1.0446,143220,1.3859,110,64,1804.4,2.20,79,1.3924,60,1.8333,9870,,0.0000,0.0000,0,83523,0.4208,0.4208,0.4208,0.4208,3627,3283.4,,0.0000,
0001,千房直営,000003,第3エリア,057   ,ルミネ立川支店,2026/04/20,月,平日,,曇,23.0,14.0,計,204688,160000,1.2793,1.2793,59649,3.4315,119,70,1720.1,2.70,78,1.5256,30,3.9667,0,,0.0000,0.0000,0,62469,0.3052,0.3052,0.3052,0.3052,2760,4449.7,,0.0000,
0001,千房直営,000002,第2エリア,059   ,あべのキューズモール支店,2026/04/20,月,平日,,曇,24.0,17.0,計,183411,200000,0.9171,0.9171,191411,0.9582,101,49,1816.0,2.02,111,0.9099,102,0.9902,0,,0.0000,0.0000,0,64492,0.3516,0.3516,0.3516,0.3516,3031,3630.7,,0.0000,
0001,千房直営,000003,第3エリア,064   ,ヨドバシHD池袋ビル支店,2026/04/20,月,平日,,曇,23.0,15.0,計,118159,150000,0.7877,0.7877,103493,1.1417,73,49,1618.6,2.09,90,0.8111,39,1.8718,54600,,0.0000,0.0000,0,44236,0.3744,0.3744,0.3744,0.3744,2031,3490.7,,0.0000,
0001,千房直営,000002,第2エリア,065   ,名代JO-TERRACE OSAKA店,2026/04/20,月,平日,,曇,24.0,17.0,計,65319,140000,0.4666,0.4666,,,37,19,1765.4,0.64,73,0.5068,,,0,,0.0000,0.0000,0,35456,0.5428,0.5428,0.5428,0.5428,1660,2360.9,,0.0000,イベントなし
0001,千房直営,000003,第3エリア,066   ,セレオ八王子支店,2026/04/20,月,平日,,晴,24.0,15.0,計,158084,170000,0.9299,0.9299,79821,1.9805,91,56,1737.2,2.39,88,1.0341,45,2.0222,0,,0.0000,0.0000,0,61981,0.3921,0.3921,0.3921,0.3921,2804,3382.7,,0.0000,
0001,千房直営,000002,第2エリア,067   ,ららぽーと名古屋みなとアクルス店,2026/04/20,月,平日,,曇,25.0,17.0,計,122078,140000,0.8720,0.8720,146304,0.8344,85,44,1436.2,1.52,83,1.0241,92,0.9239,0,27167,0.2225,0.2225,0,52282,0.4283,0.4283,0.6508,0.6508,2544,2879.2,,0.0000,
0001,千房直営,000003,第3エリア,068   ,舞 イクスピアリ店,2026/04/20,月,平日,,晴,23.0,15.0,計,295878,300000,0.9863,0.9863,358828,0.8246,156,68,1896.7,3.00,150,1.0400,151,1.0331,0,,0.0000,0.0000,0,87269,0.2949,0.2949,0.2949,0.2949,3552,4997.9,,0.0000,
0001,千房直営,000003,第3エリア,069   ,有明ガーデン支店,2026/04/20,月,平日,,曇,23.0,16.0,計,255707,220000,1.1623,1.1623,121321,2.1077,133,71,1922.6,2.71,97,1.3711,60,2.2167,48620,,0.0000,0.0000,0,64234,0.2512,0.2512,0.2512,0.2512,2873,5340.2,,0.0000,
0001,千房直営,000002,第2エリア,071   ,イオンモール各務原インター支店,2026/04/20,月,平日,,晴,24.0,16.0,計,54589,80000,0.6824,0.6824,58011,0.9410,40,24,1364.7,0.85,59,0.6780,41,0.9756,0,5890,0.1079,0.1079,0,28479,0.5217,0.5217,0.6296,0.6296,1367,2396.0,,0.0000,
0001,千房直営,600000,本社,1000  ,本社,2026/04/20,月,平日,,曇,24.0,17.0,計,,,,,,,,,,,,,,,,,,,,0,,,,,0,,,,
0001,千房直営,000004,第4エリア,101   ,ぷれじでんと南本店,2026/04/20,月,平日,,曇,24.0,17.0,計,201610,300000,0.6720,0.6720,392000,0.5143,21,5,9600.5,0.72,27,0.7778,28,0.7500,0,,0.0000,0.0000,0,55200,0.2738,0.2738,0.2738,0.2738,2202,5493.5,,0.0000,
0001,千房直営,000004,第4エリア,102   ,ぷれじでんと北店,2026/04/20,月,平日,,曇,24.0,17.0,計,332122,350000,0.9489,0.9489,542178,0.6126,26,8,12773.9,0.84,28,0.9286,34,0.7647,0,32787,0.0987,0.0987,0,106953,0.3220,0.3220,0.4207,0.4207,4552,4377.7,,0.0000,
0001,千房直営,000004,第4エリア,103   ,ぷれじでんとシェラトン都ホテル大阪店,2026/04/20,月,平日,,曇,24.0,17.0,計,,0,,,,,,,,0,0,,,,0,,,,0,0,,,,,0,,,,
0001,千房直営,000004,第4エリア,109   ,ぷれじでんとオー・エム・ホテル日航ビル店,2026/04/20,月,平日,,曇,24.0,17.0,計,,0,,,,,,,,0,0,,,,0,,,,0,0,,,,,0,,,,
0001,千房直営,000004,第4エリア,111   ,ぷれじでんと大丸心斎橋店,2026/04/20,月,平日,,曇,24.0,17.0,計,368282,450000,0.8184,0.8184,385790,0.9546,49,17,7516.0,1.44,62,0.7903,58,0.8448,0,,0.0000,0.0000,0,99900,0.2713,0.2713,0.2713,0.2713,4476,4936.8,,0.0000,
0001,千房直営,000004,第4エリア,112   ,琥 虎ノ門,2026/04/20,月,平日,,曇,23.0,16.0,計,27600,250000,0.1104,0.1104,195020,0.1415,4,1,6900.0,0.29,15,0.2667,15,0.2667,0,5797,0.2100,0.2100,0,37279,1.3507,1.3507,1.5607,1.5607,1625,1019.1,,0.0000,
0001,千房直営,000004,第4エリア,113   ,ぷれじでんとRetreat,2026/04/20,月,平日,,曇,24.0,17.0,計,80860,80000,1.0108,1.0108,73264,1.1037,4,1,20215.0,0.40,6,0.6667,5,0.8000,0,,0.0000,0.0000,0,22061,0.2728,0.2728,0.2728,0.2728,978,4960.7,,0.0000,
