業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/04/21,火,平日,,晴,23.0,17.0,計,527271,500000,1.0545,1.0545,487962,1.0806,244,103,2160.9,2.77,250,0.9760,223,1.0942,0,,0.0000,0.0000,0,100732,0.1910,0.1910,0.1910,0.1910,4698,6734.0,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/04/21,火,平日,,晴,22.0,15.0,計,134934,130000,1.0380,1.0380,137219,0.9833,76,35,1775.4,0.86,68,1.1176,75,1.0133,0,,0.0000,0.0000,0,52640,0.3901,0.3901,0.3901,0.3901,2577,3141.7,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/04/21,火,平日,,晴,22.0,14.0,計,157623,250000,0.6305,0.6305,280628,0.5617,67,29,2352.6,1.97,162,0.4136,112,0.5982,0,,0.0000,0.0000,0,44889,0.2848,0.2848,0.2848,0.2848,2087,4531.6,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/04/21,火,平日,,晴,22.0,16.0,計,127073,160000,0.7942,0.7942,219549,0.5788,73,51,1740.7,1.30,88,0.8295,122,0.5984,0,,0.0000,0.0000,0,57272,0.4507,0.4507,0.4507,0.4507,2665,2860.9,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/04/21,火,平日,,晴,22.0,13.0,計,110181,170000,0.6481,0.6481,185161,0.5951,59,32,1867.5,1.11,0,,99,0.5960,0,,0.0000,0.0000,0,51543,0.4678,0.4678,0.4678,0.4678,2410,2743.1,,0.0000,
0001,千房直営,000002,第2エリア,015   ,曽根崎支店,2026/04/21,火,平日,,晴,23.0,16.0,計,178206,230000,0.7748,0.7748,230829,0.7720,51,23,3494.2,1.06,76,0.6711,72,0.7083,0,,0.0000,0.0000,0,45268,0.2540,0.2540,0.2540,0.2540,2084,5130.7,,0.0000,
0001,千房直営,000004,第4エリア,034   ,華 恵比寿ガーデンプレイス店,2026/04/21,火,平日,,晴,24.0,17.0,計,292469,250000,1.1699,1.1699,187517,1.5597,39,14,7499.2,0.78,40,0.9750,35,1.1143,0,66280,0.2266,0.2266,0,77491,0.2650,0.2650,0.4916,0.4916,3339,5255.5,,0.0000,
0001,千房直営,000002,第2エリア,035   ,京橋京阪モール支店,2026/04/21,火,平日,,晴,23.0,16.0,計,128048,160000,0.8003,0.8003,105084,1.2185,65,36,1970.0,1.71,84,0.7738,57,1.1404,0,,0.0000,0.0000,0,39703,0.3101,0.3101,0.3101,0.3101,1882,4082.3,,0.0000,
0001,千房直営,000002,第2エリア,040   ,ハービスＰＬＡＺＡ梅田支店,2026/04/21,火,平日,,晴,23.0,16.0,計,160715,200000,0.8036,0.8036,183343,0.8766,63,31,2551.0,1.80,100,0.6300,87,0.7241,0,,0.0000,0.0000,0,44819,0.2789,0.2789,0.2789,0.2789,2029,4752.5,,0.0000,
0001,千房直営,000003,第3エリア,052   ,有楽町ビックカメラ支店,2026/04/21,火,平日,,晴,25.0,17.0,計,201784,250000,0.8071,0.8071,212143,0.9512,75,41,2690.5,1.34,83,0.9036,89,0.8427,0,4007,0.0199,0.0199,0,65243,0.3233,0.3233,0.3432,0.3432,2719,4452.8,,0.0000,
