業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/04/28,火,平日,,曇,25.0,15.0,計,359450,500000,0.7189,0.7189,621898,0.5780,144,65,2496.2,1.64,250,0.5760,268,0.5373,0,,0.0000,0.0000,0,107270,0.2984,0.2984,0.2984,0.2984,4770,4521.4,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/04/28,火,平日,,曇,26.0,14.0,計,137357,200000,0.6868,0.6868,354201,0.3878,78,44,1761.0,0.89,105,0.7429,178,0.4382,0,,0.0000,0.0000,0,63351,0.4612,0.4612,0.4612,0.4612,2896,2845.8,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/04/28,火,平日,,晴,27.0,13.0,計,302050,250000,1.2082,1.2082,338086,0.8934,109,54,2771.1,3.21,162,0.6728,140,0.7786,0,,0.0000,0.0000,0,59429,0.1968,0.1968,0.1968,0.1968,2578,7029.9,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/04/28,火,平日,,曇,24.0,14.0,計,229359,220000,1.0425,1.0425,382143,0.6002,119,68,1927.4,2.13,122,0.9754,192,0.6198,0,,0.0000,0.0000,0,68372,0.2981,0.2981,0.2981,0.2981,2898,4748.6,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/04/28,火,平日,,晴,26.0,13.0,計,206299,180000,1.1461,1.1461,367507,0.5613,113,59,1825.7,2.13,0,,182,0.6209,0,,0.0000,0.0000,0,59486,0.2883,0.2883,0.2883,0.2883,2708,4570.9,,0.0000,
0001,千房直営,000002,第2エリア,015   ,曽根崎支店,2026/04/28,火,平日,,曇,25.0,14.0,計,94335,300000,0.3145,0.3145,324497,0.2907,33,18,2858.6,0.69,99,0.3333,116,0.2845,0,,0.0000,0.0000,0,37120,0.3935,0.3935,0.3935,0.3935,1582,3577.8,,0.0000,
0001,千房直営,000004,第4エリア,034   ,華 恵比寿ガーデンプレイス店,2026/04/28,火,平日,,晴,22.0,13.0,計,229084,350000,0.6545,0.6545,498421,0.4596,42,18,5454.4,0.84,50,0.8400,94,0.4468,0,232489,1.0149,1.0149,0,75377,0.3290,0.3290,1.3439,1.3439,3172,4333.2,,0.0000,
0001,千房直営,000002,第2エリア,035   ,京橋京阪モール支店,2026/04/28,火,平日,,曇,25.0,14.0,計,102185,180000,0.5677,0.5677,228903,0.4464,61,34,1675.2,1.61,105,0.5810,115,0.5304,0,,0.0000,0.0000,0,44513,0.4356,0.4356,0.4356,0.4356,1946,3150.6,,0.0000,
0001,千房直営,000002,第2エリア,040   ,ハービスＰＬＡＺＡ梅田支店,2026/04/28,火,平日,,曇,25.0,14.0,計,175726,210000,0.8368,0.8368,269038,0.6532,77,36,2282.2,2.20,105,0.7333,117,0.6581,0,,0.0000,0.0000,0,47958,0.2729,0.2729,0.2729,0.2729,2101,5018.4,,0.0000,
0001,千房直営,000003,第3エリア,052   ,有楽町ビックカメラ支店,2026/04/28,火,平日,,晴,22.0,13.0,計,313177,300000,1.0439,1.0439,529166,0.5918,85,39,3684.4,1.52,100,0.8500,203,0.4187,0,,0.0000,0.0000,0,86274,0.2755,0.2755,0.2755,0.2755,3241,5797.8,,0.0000,
