業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/01,土,土曜,,晴,20.0,13.0,計,873887,900000,0.9710,0.9710,877876,0.9955,371,139,2355.5,4.22,450,0.8244,435,0.8529,0,462897,0.5297,0.5297,0,156112,0.1786,0.1786,0.7083,0.7083,6966,7527.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/02,日,日祝,,晴,20.0,13.0,計,1044546,900000,1.1606,1.0658,1112282,0.9391,487,168,2144.9,5.53,450,1.0822,512,0.9512,0,5104,0.0049,0.2440,0,166430,0.1593,0.1681,0.1642,0.4121,7562,8287.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/03,月,日祝,,晴,16.0,12.0,計,759123,900000,0.8435,0.9917,836408,0.9076,334,123,2272.8,3.80,450,0.7422,389,0.8586,0,157774,0.2078,0.2337,0,133478,0.1758,0.1703,0.3837,0.4040,5959,7643.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/04,火,平日,,晴,17.0,9.0,計,495803,600000,0.8263,0.9616,500199,0.9912,213,74,2327.7,2.42,300,0.7100,188,1.1330,0,134507,0.2713,0.2396,0,104965,0.2117,0.1768,0.4830,0.4164,4919,6047.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/05,水,平日,,曇,17.0,15.0,計,449071,550000,0.8165,0.9409,422257,1.0635,196,74,2291.2,2.23,275,0.7127,170,1.1529,0,92319,0.2056,0.2354,0,123074,0.2741,0.1888,0.4796,0.4242,5458,4936.7,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/06,木,平日,,晴,22.0,14.0,計,504724,600000,0.8412,0.9275,492875,1.0240,215,75,2347.6,2.44,300,0.7167,207,1.0386,0,66045,0.1309,0.2226,0,104738,0.2075,0.1911,0.3384,0.4137,4896,6185.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/07,金,平日,,晴,20.0,12.0,計,568047,600000,0.9467,0.9297,801008,0.7092,246,89,2309.1,2.80,300,0.8200,244,1.0082,0,113333,0.1995,0.2198,0,125496,0.2209,0.1947,0.4204,0.4145,5466,6235.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/08,土,土曜,,晴,20.0,11.0,計,792611,900000,0.8807,0.9223,800157,0.9906,337,123,2352.0,3.83,450,0.7489,390,0.8641,0,252175,0.3182,0.2340,0,172776,0.2180,0.1981,0.5361,0.4321,7680,6192.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/09,日,日祝,,雨,16.0,15.0,計,751711,900000,0.8352,0.9109,864493,0.8695,314,123,2394.0,3.57,450,0.6978,341,0.9208,0,,0.0000,0.2058,0,162953,0.2168,0.2003,0.2168,0.4061,7214,6252.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/10,月,平日,,晴,18.0,13.0,計,530582,550000,0.9647,0.9149,621253,0.8541,235,91,2257.8,2.67,275,0.8545,237,0.9916,0,112320,0.2117,0.2063,0,119777,0.2257,0.2023,0.4374,0.4086,5240,6075.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/11,火,平日,,晴,17.0,9.0,計,550062,550000,1.0001,0.9208,447303,1.2297,232,89,2371.0,2.64,275,0.8436,192,1.2083,0,114358,0.2079,0.2064,0,105447,0.1917,0.2015,0.3996,0.4079,4990,6614.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/12,水,平日,,晴,16.0,9.0,計,405788,500000,0.8116,0.9143,598535,0.6780,209,70,1941.6,2.38,250,0.8360,241,0.8672,0,55335,0.1364,0.2027,0,119910,0.2955,0.2065,0.4319,0.4092,5232,4653.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/13,木,平日,,晴,17.0,13.0,計,544558,500000,1.0891,0.9241,519106,1.0490,256,88,2127.2,2.91,250,1.0240,236,1.0847,0,116043,0.2131,0.2034,0,123396,0.2266,0.2078,0.4397,0.4112,5356,6100.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/14,金,平日,,晴,20.0,12.0,計,545449,500000,1.0909,0.9329,580556,0.9395,219,99,2490.6,2.49,250,0.8760,261,0.8391,0,235411,0.4316,0.2175,0,121070,0.2220,0.2087,0.6536,0.4262,5671,5770.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/15,土,土曜,,曇,19.0,11.0,計,939274,900000,1.0436,0.9425,1052125,0.8927,328,129,2863.6,3.73,450,0.7289,426,0.7700,0,293307,0.3123,0.2266,0,177130,0.1886,0.2067,0.5009,0.4334,7929,7107.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/16,日,日祝,,晴,20.0,10.0,計,768175,900000,0.8535,0.9354,952086,0.8068,323,133,2378.3,3.67,450,0.7178,398,0.8116,0,,0.0000,0.2101,0,166871,0.2172,0.2075,0.2172,0.4176,7370,6253.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/17,月,平日,,晴,21.0,11.0,計,528407,500000,1.0568,0.9406,703761,0.7508,233,88,2267.8,2.65,250,0.9320,293,0.7952,0,221902,0.4199,0.2201,0,112822,0.2135,0.2078,0.6335,0.4279,4860,6523.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/18,火,平日,,曇,14.0,10.0,計,618439,550000,1.1244,0.9488,521759,1.1853,267,83,2316.3,3.03,275,0.9709,241,1.1079,0,244430,0.3952,0.2294,0,138710,0.2243,0.2087,0.6195,0.4381,6165,6018.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/19,水,平日,,曇,12.0,8.0,計,357461,500000,0.7149,0.9397,535978,0.6669,155,70,2306.2,1.76,250,0.6200,248,0.6250,0,241277,0.6750,0.2427,0,100273,0.2805,0.2108,0.9555,0.4535,4674,4588.7,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/20,木,平日,,晴,15.0,6.0,計,766362,550000,1.3934,0.9584,641293,1.1950,265,95,2891.9,3.01,275,0.9636,557,0.4758,0,141067,0.1841,0.2391,0,147748,0.1928,0.2097,0.3769,0.4489,6528,7043.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/21,金,平日,,晴,17.0,9.0,計,767044,500000,1.5341,0.9791,613597,1.2501,348,100,2204.1,3.95,250,1.3920,260,1.3385,0,271236,0.3536,0.2456,0,138783,0.1809,0.2081,0.5345,0.4537,6077,7573.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/22,土,土曜,,曇,17.0,8.0,計,937678,650000,1.4426,0.9999,1106117,0.8477,394,166,2379.9,4.48,325,1.2123,494,0.7976,0,470914,0.5022,0.2622,0,157819,0.1683,0.2055,0.6705,0.4677,7014,8021.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/23,日,日祝,,晴,17.0,7.0,計,1243608,1150000,1.0814,1.0059,862130,1.4425,452,146,2751.3,5.14,575,0.7861,390,1.1590,0,,0.0000,0.2415,0,197778,0.1590,0.2018,0.1590,0.4433,8775,8503.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/11/24,月,日祝,,曇,18.0,8.0,計,674114,750000,0.8988,1.0010,578911,1.1645,296,113,2277.4,3.36,375,0.7893,210,1.4095,0,87845,0.1303,0.2369,0,157651,0.2339,0.2032,0.3642,0.4401,6774,5970.9,,0.0000,
