業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/04/19,日,日祝,,曇,25.0,17.0,計,742366,700000,1.0605,1.0605,901204,0.8237,336,139,2209.4,3.82,350,0.9600,327,1.0275,0,,0.0000,0.0000,0,144185,0.1942,0.1942,0.1942,0.1942,6590,6759.0,,0.0000,
0001,千房直営,000002,第2エリア,005   ,リノアス八尾支店,2026/04/19,日,日祝,,曇,25.0,16.0,計,383398,310000,1.2368,1.2368,314825,1.2178,194,82,1976.3,2.20,163,1.1902,192,1.0104,0,,0.0000,0.0000,0,71047,0.1853,0.1853,0.1853,0.1853,3327,6914.3,,0.0000,
0001,千房直営,000001,第1エリア,010   ,京都アバンティ支店,2026/04/19,日,日祝,,曇,24.0,15.0,計,285423,430000,0.6638,0.6638,432259,0.6603,112,57,2548.4,3.29,344,0.3256,193,0.5803,0,,0.0000,0.0000,0,55300,0.1937,0.1937,0.1937,0.1937,2416,7088.3,,0.0000,
0001,千房直営,000001,第1エリア,013   ,堺東支店,2026/04/19,日,日祝,,曇,24.0,16.0,計,260980,290000,0.8999,0.8999,400727,0.6513,134,74,1947.6,2.39,161,0.8323,217,0.6175,0,,0.0000,0.0000,0,89655,0.3435,0.3435,0.3435,0.3435,3754,4171.2,,0.0000,
0001,千房直営,000001,第1エリア,014   ,高槻阪急スクエア支店,2026/04/19,日,日祝,,曇,25.0,15.0,計,299633,300000,0.9988,0.9988,321432,0.9322,153,73,1958.4,2.89,0,,219,0.6986,0,,0.0000,0.0000,0,79246,0.2645,0.2645,0.2645,0.2645,3654,4920.1,,0.0000,
0001,千房直営,000002,第2エリア,015   ,曽根崎支店,2026/04/19,日,日祝,,曇,25.0,16.0,計,357533,450000,0.7945,0.7945,428411,0.8346,134,58,2668.2,2.79,150,0.8933,162,0.8272,0,,0.0000,0.0000,0,81240,0.2272,0.2272,0.2272,0.2272,3632,5906.4,,0.0000,
0001,千房直営,000004,第4エリア,034   ,華 恵比寿ガーデンプレイス店,2026/04/19,日,日祝,,晴,24.0,14.0,計,685020,600000,1.1417,1.1417,386159,1.7739,96,42,7135.6,1.92,100,0.9600,74,1.2973,0,,0.0000,0.0000,0,109315,0.1596,0.1596,0.1596,0.1596,4775,8607.6,,0.0000,
0001,千房直営,000002,第2エリア,035   ,京橋京阪モール支店,2026/04/19,日,日祝,,曇,25.0,16.0,計,277171,280000,0.9899,0.9899,220014,1.2598,126,62,2199.8,3.32,147,0.8571,121,1.0413,0,,0.0000,0.0000,0,64531,0.2328,0.2328,0.2328,0.2328,2826,5884.7,,0.0000,
0001,千房直営,000002,第2エリア,040   ,ハービスＰＬＡＺＡ梅田支店,2026/04/19,日,日祝,,曇,25.0,16.0,計,221036,300000,0.7368,0.7368,377322,0.5858,111,55,1991.3,3.17,150,0.7400,174,0.6379,0,,0.0000,0.0000,0,70703,0.3199,0.3199,0.3199,0.3199,3004,4414.8,,0.0000,
0001,千房直営,000003,第3エリア,052   ,有楽町ビックカメラ支店,2026/04/19,日,日祝,,晴,24.0,15.0,計,468258,500000,0.9365,0.9365,507293,0.9231,187,87,2504.1,3.34,210,0.8905,230,0.8130,0,39102,0.0835,0.0835,0,102543,0.2190,0.2190,0.3025,0.3025,4070,6903.1,,0.0000,
0001,千房直営,000003,第3エリア,053   ,そごう横浜店,2026/04/19,日,日祝,,晴,23.0,15.0,計,364313,460000,0.7920,0.7920,413870,0.8803,165,79,2208.0,3.30,201,0.8209,205,0.8049,16560,,0.0000,0.0000,0,66861,0.1835,0.1835,0.1835,0.1835,2966,7369.8,,0.0000,
