業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/02/01,日,日祝,,晴,9.0,2.0,計,590873,650000,0.9090,0.9090,615775,0.9596,264,111,2238.2,3.00,325,0.8123,288,0.9167,0,,0.0000,0.0000,0,137886,0.2334,0.2334,0.2334,0.2334,6323,5606.9,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/02/02,月,平日,,曇,8.0,2.0,計,427430,500000,0.8549,0.8855,431126,0.9914,196,80,2180.8,2.23,250,0.7840,208,0.9423,0,69538,0.1627,0.0683,0,105813,0.2476,0.2393,0.4102,0.3076,4896,5238.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/02/03,火,平日,,晴,8.0,3.0,計,477622,500000,0.9552,0.9066,357419,1.3363,206,86,2318.6,2.34,250,0.8240,171,1.2047,0,154994,0.3245,0.1501,0,105508,0.2209,0.2334,0.5454,0.3835,4801,5969.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/02/04,水,平日,,晴,10.0,1.0,計,497631,500000,0.9953,0.9272,532538,0.9345,234,94,2126.6,2.66,250,0.9360,243,0.9630,0,54798,0.1101,0.1401,0,110664,0.2224,0.2307,0.3325,0.3708,5064,5896.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/02/05,木,平日,,晴,12.0,3.0,計,530556,500000,1.0611,0.9525,383392,1.3838,230,93,2306.8,2.61,250,0.9200,189,1.2169,0,33943,0.0640,0.1241,0,106399,0.2005,0.2243,0.2645,0.3485,4811,6616.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/02/06,金,平日,,曇,12.0,4.0,計,577895,600000,0.9632,0.9545,670870,0.8614,226,75,2557.1,2.57,300,0.7533,289,0.7820,0,229651,0.3974,0.1750,0,115604,0.2000,0.2198,0.5974,0.3948,5230,6629.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/02/07,土,土曜,,曇,7.0,6.0,計,725630,900000,0.8063,0.9223,933190,0.7776,358,138,2026.9,4.07,450,0.7956,419,0.8544,0,323725,0.4461,0.2264,0,162284,0.2236,0.2205,0.6698,0.4470,7443,5849.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/02/08,日,日祝,,曇,6.0,-1.0,計,594057,800000,0.7426,0.8933,758258,0.7835,256,105,2320.5,2.91,400,0.6400,384,0.6667,0,,0.0000,0.1960,0,119665,0.2014,0.2180,0.2014,0.4140,5550,6422.2,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/02/09,月,平日,,曇,6.0,-2.0,計,392608,500000,0.7852,0.8834,787734,0.4984,175,73,2243.5,1.99,250,0.7000,358,0.4888,0,140115,0.3569,0.2091,0,95798,0.2440,0.2201,0.6009,0.4292,4375,5384.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2026/02/10,火,平日,,曇,9.0,0.0,計,501868,500000,1.0037,0.8935,523819,0.9581,211,82,2378.5,2.40,250,0.8440,268,0.7873,0,172262,0.3432,0.2218,0,102246,0.2037,0.2186,0.5470,0.4403,4766,6318.1,,0.0000,
