業態コード,業態名称,営業部コード,営業部名称,店舗コード,店舗名称,営業日,曜日,曜日区分,店休,天候,最高気温,最低気温,売上分類,売上実績,売上月次予算,売上予算比,売上累計予算比,売上前年,売上前年比,客数実績,組数実績,客数客単価,客数回転数,客数月次予算,客数予算比,客数前年,客数前年比,仕入月次予算,仕入実績,売上仕入率,累計仕入率,人件費月次予算,人件費実績,売上人件費率,累計人件費率,売上FL率,累計FL率,労働時間,人時売上,廃棄額,売上廃棄率,イベント
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/01,水,平日,,晴,28.0,22.0,計,504431,550000,0.9171,0.9171,523190,0.9641,220,89,2292.9,2.50,261,0.8429,260,0.8462,0,98238,0.1948,0.1948,0,131495,0.2607,0.2607,0.4554,0.4554,5758,5256.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/02,木,平日,,晴,27.0,20.0,計,586447,550000,1.0663,0.9917,490997,1.1944,253,102,2318.0,2.88,261,0.9693,247,1.0243,0,141981,0.2421,0.2202,0,100030,0.1706,0.2122,0.4127,0.4324,4673,7529.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/03,金,平日,,雨,25.0,22.0,計,759510,550000,1.3809,1.1214,492157,1.5432,299,107,2540.2,3.40,261,1.1456,237,1.2616,0,175545,0.2311,0.2247,0,144457,0.1902,0.2032,0.4213,0.4279,6340,7187.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/04,土,土曜,,曇,22.0,21.0,計,1174088,850000,1.3813,1.2098,853733,1.3752,563,198,2085.4,6.40,404,1.3936,383,1.4700,0,282111,0.2403,0.2307,0,182353,0.1553,0.1846,0.3956,0.4153,8158,8635.1,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/05,日,日祝,,曇,24.0,21.0,計,1019486,850000,1.1994,1.2072,610941,1.6687,473,199,2155.4,5.38,404,1.1708,299,1.5819,0,,0.0000,0.1726,0,156070,0.1531,0.1767,0.1531,0.3492,7054,8671.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/06,月,平日,,晴,29.0,21.0,計,770265,550000,1.4005,1.2344,399550,1.9278,302,123,2550.5,3.43,261,1.1571,205,1.4732,0,217292,0.2821,0.1901,0,107054,0.1390,0.1706,0.4211,0.3607,4965,9308.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/07,火,平日,,曇,30.0,21.0,計,747231,550000,1.3586,1.2498,429994,1.7378,281,95,2659.2,3.19,261,1.0766,221,1.2715,0,294624,0.3943,0.2175,0,133494,0.1787,0.1717,0.5729,0.3892,5853,7660.0,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/08,水,平日,,曇,31.0,23.0,計,716340,550000,1.3024,1.2556,436148,1.6424,331,109,2164.2,3.76,261,1.2682,193,1.7150,0,169169,0.2362,0.2197,0,125243,0.1748,0.1721,0.4110,0.3917,5849,7348.3,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/09,木,平日,,晴,27.0,22.0,計,994882,500000,1.9898,1.3223,460249,2.1616,315,103,3158.4,3.58,238,1.3235,223,1.4126,0,272316,0.2737,0.2271,0,165294,0.1661,0.1713,0.4399,0.3983,7313,8162.6,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/10,金,平日,,曇,25.0,19.0,計,756855,550000,1.3761,1.3272,815184,0.9284,338,117,2239.2,3.84,261,1.2950,331,1.0211,0,322853,0.4266,0.2459,0,136814,0.1808,0.1722,0.6073,0.4180,5869,7737.5,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/11,土,土曜,,曇,27.0,21.0,計,1001690,850000,1.1785,1.3089,977028,1.0252,426,173,2351.4,4.84,404,1.0545,420,1.0143,0,532362,0.5315,0.2775,0,177631,0.1773,0.1727,0.7088,0.4503,7986,7525.8,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/12,日,日祝,,曇,25.0,23.0,計,976692,850000,1.1490,1.2913,1137071,0.8590,442,170,2209.7,5.02,404,1.0941,576,0.7674,0,,0.0000,0.2505,0,169357,0.1734,0.1728,0.1734,0.4232,7671,7639.4,,0.0000,
0001,千房直営,000001,第1エリア,002   ,千日前本店,2025/10/13,月,日祝,,晴,27.0,23.0,計,700252,850000,0.8238,1.2451,840777,0.8329,330,123,2122.0,3.75,404,0.8168,382,0.8639,0,118086,0.1686,0.2451,0,144330,0.2061,0.1750,0.3747,0.4201,6376,6589.6,,0.0000,
